source,source_split,class,source_path,md5,original_mode,original_bands
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/8343.jpg,a99e7fc01122609b2b49c93605186abf,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/1629.jpg,dc0a314e7f9f2042dcf704dc88b5c3e3,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/10874.jpg,7eaf05a3e8ec6b6d466432aba9b594dd,RGB,3
old,old_train,cats,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/cats/cat.3085.jpg,ab1d3b403f204e3477f88ea206fca4a2,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/5827.jpg,83f1c34ba37be61bdf59b0c7260511a9,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/9738.jpg,03d44bde2c4a353a9ff11eaba4cb0eb6,RGB,3
old,old_test,cats,/content/drive/MyDrive/HOCSAU/data/catdog/test_set/cats/cat.4206.jpg,75f7828673e29698e88c9d742c7fb714,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/6254.jpg,39ee8d2c85d8456a0c07e6046827348c,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/9594.jpg,50a510e18600ac0be2f6e3a409f431c8,RGB,3
old,old_test,cats,/content/drive/MyDrive/HOCSAU/data/catdog/test_set/cats/cat.4538.jpg,e8b5943e83d0b19bfc4ab5cd9f8c2fbe,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/7200.jpg,2681c5ba9fcae9e18e8044a469a07169,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/7173.jpg,21b83942000ab943474be5af02494d50,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/1592.jpg,0b89e80c4d9a4359cef527d519b59d33,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/1088.jpg,733b319c6746d431211bb36bce5576a7,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/1574.jpg,f6499d9029becb906c0739a3bee3987d,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/2783.jpg,08ba71bf72471133169a41bcec0377ca,RGB,3
old,old_train,dogs,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/dogs/dog.3132.jpg,3258fe12f8c737448b190d3ba9ac0821,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/7540.jpg,62f5ab722a197672b3a37972b5a06f49,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/2158.jpg,22f10c9463a39c73ab56dd02c126da2c,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/3328.jpg,1f36d63202d664c05390769ef3aef5e1,RGB,3
old,old_train,dogs,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/dogs/dog.938.jpg,8af1a16d582796fb4f92035b51add68c,RGB,3
old,old_train,dogs,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/dogs/dog.3163.jpg,acd3658ffe37261e3b283a74a395b1b2,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/11858.jpg,8c3b68f5bcffff60068ffb84b47b6c9a,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/6772.jpg,07829273f2955b8bee2e28458f81267b,RGB,3
old,old_train,dogs,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/dogs/dog.3335.jpg,05f63f359aea68fb57f759c04d9e285b,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/4784.jpg,a7f80626c582f7c55eded530be3ad73e,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/637.jpg,91890e8454b27c96664a00b544595e4e,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/11560.jpg,cda2d08599f603b99beb9aa8badb4358,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/6723.jpg,7ee16506291eba7be83dc9f28abfb320,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/5552 (1).jpg,6530978ab69cb0fc19e5880f87203e84,RGB,3
old,old_train,cats,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/cats/cat.632.jpg,b7a4b93f047bf243e86563e4bc211bd4,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/12082.jpg,5e40f040c7bea3c16a5fde5f4b06b643,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/1100.jpg,4cc23b884d5d56a2f9b17976c86bb145,RGB,3
old,old_train,dogs,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/dogs/dog.547.jpg,73b478e59dd84c50c5dd074f5d8997e7,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/9590.jpg,beabc48c2c3125423fddfffeddf9cd09,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/417.jpg,5bcd5d0eecdf211f5f11c87b4a15b441,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/5816.jpg,097a8fbd86ea63a14b413b8f2dcef364,RGB,3
old,old_train,cats,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/cats/cat.3831.jpg,9e90d2d9e4e95d69492c5bd630b4812d,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/5318.jpg,5c07e8846bf96f3134354b94d9b497b9,RGB,3
old,old_train,dogs,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/dogs/dog.3493.jpg,cd927e4d0229a5ac62c5f711e0b86104,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/3631.jpg,607f62b60ae28df931d1014f09d997f6,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/4416.jpg,1b075d0fa6e93f203495662f71df45c0,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/52.jpg,0ac75708fcfd56ba04763e56a6d2c595,RGB,3
old,old_test,dogs,/content/drive/MyDrive/HOCSAU/data/catdog/test_set/dogs/dog.4025.jpg,6d2e9e353b3474c43442f741e5261adb,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/9236.jpg,d97d378cabe71b9a557eda8021a3a61f,RGB,3
old,old_train,dogs,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/dogs/dog.2807.jpg,cca58202fde71a99527e084497b64363,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/11930.jpg,b7271e0b98eacccb7784fdb01021052d,RGB,3
old,old_train,dogs,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/dogs/dog.3100.jpg,fc1592c2ac6b82709871094dd6a608fa,RGB,3
old,old_train,cats,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/cats/cat.1333.jpg,199c53c7fa903e202bfb2c535db05cd0,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/10022.jpg,aa5e23fbf1b2e7a7f4742a158d29899c,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/3175.jpg,3207215719dffe998f9b697881c9997d,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/10311.jpg,968aa12718245cb51b5b3000904f2c9d,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/6261.jpg,2f3b91437f79009340bb7b1e7ab15354,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/10230.jpg,df9fa915d7de17476cc5b7bec691f9cd,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/6507.jpg,085c1684b8ac48ba2bafb097b60e5f05,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/928.jpg,6bcaa29256138278d594b366605c090d,RGB,3
old,old_train,dogs,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/dogs/dog.2009.jpg,2d61c87cca588dfa592acdd50d4443f1,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/3048.jpg,f2e2f51bbc24976219ffa810ebfeffce,RGB,3
old,old_test,cats,/content/drive/MyDrive/HOCSAU/data/catdog/test_set/cats/cat.4650.jpg,01abadb954bc180bc79698a6affc42af,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/4252.jpg,1323dc043d89cebba3ea7615a2ec8213,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/11098.jpg,207be87492f12c08e258a5ebb253d9ee,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/407.jpg,2f95979c818e2cf8e71f02dff0cec39f,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/12414.jpg,c513abfd45d60b7fd592a9585d275410,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/10470.jpg,ed5c7904d08e4dd3a7536274c49e1611,RGB,3
old,old_train,dogs,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/dogs/dog.1807.jpg,b0ad6647a5c0fb021d410a2f246174b5,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/4584.jpg,444da4ba1a6b6a85be94b815f3ecf910,RGB,3
old,old_train,cats,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/cats/cat.1002.jpg,c7e9e483a37171e77bd3c9cd17bb57db,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/2652.jpg,6f21b1057f0c6f795d3f87fcc52b0f93,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/11796.jpg,492b75a9964199f5ffd54f98782c5663,RGB,3
old,old_train,cats,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/cats/cat.3610.jpg,29664c0c0a94057ca9174ad5f0b5e371,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/7670.jpg,594596298cf0aba9c6b10303be78acd9,RGB,3
old,old_train,dogs,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/dogs/dog.2483.jpg,59c8a0769c4a5b383eef919a266955c6,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/908.jpg,3c630d41b63b4a64a750f2dd5306e5cc,RGB,3
old,old_train,dogs,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/dogs/dog.1451.jpg,4fc7176a22a09c63616dadf17ac15391,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/6614.jpg,676f8f270f058b9d1fbe3c5cc4caedd6,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/10549.jpg,c6ca340014f1b481790108a7617121ad,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/10127.jpg,0948a9d85b590d24dd371ccd3962d9f5,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/5324.jpg,c24b712672474223a0537f53032507da,RGB,3
old,old_train,cats,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/cats/cat.521.jpg,b2a56ecdf3c6291fa0d56b13963d5ae2,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/10626.jpg,e2309ce92812909567636b3c75b685bf,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/3810.jpg,8ed20e6ce0af50519a6bb7d55807867e,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/1235.jpg,beab2ef862be56cdff71f78345cf439c,RGB,3
old,old_train,dogs,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/dogs/dog.1831.jpg,e8bde66e6ea62d3cc30a35ae86c6a77e,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/163.jpg,37cc914768f060a0964a512ead020a9a,RGB,3
old,old_train,dogs,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/dogs/dog.2531.jpg,40e3d73cbe3566a99d8ba6f890198dae,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/5917.jpg,0463ddc4bdf7cd6967185079087fa32e,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/45.jpg,9093c2fc67096678946239d6894037ae,RGB,3
old,old_test,cats,/content/drive/MyDrive/HOCSAU/data/catdog/test_set/cats/cat.4126.jpg,537e23c119a43d45d0570fa6b45a836b,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/6294.jpg,56730b3ae29604345c1ad7c80b78f120,RGB,3
old,old_train,cats,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/cats/cat.1061.jpg,5395d48facfdb65d333564150fed39da,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/4470.jpg,523cdf2413423b3b316fae33226016e9,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/8418.jpg,524624d0077d2da7190814bc2112972b,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/645.jpg,5296a5cb322c3782c6765f6085d756bb,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/8406.jpg,586e9f3b3efc697bc72c3795c0076158,RGB,3
old,old_train,dogs,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/dogs/dog.3341.jpg,adab4598efe4e1d9485cdf7c3cf49aab,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/5764.jpg,46bedfd8349017cc91bc0963c8e5e16a,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/8975.jpg,428403cb8ebdcef6ab967ba540f0a963,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/5665.jpg,531240c85cc98e506a27d107a7ce840d,RGB,3
old,old_train,dogs,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/dogs/dog.3991.jpg,3f5781ab483e1c22d1cc62197db9602b,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/8661.jpg,a721b2921288532aafbacf7bdf6a904c,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/6207.jpg,0c62fdfd3131c81087d3e0595e16cc11,RGB,3
old,old_train,dogs,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/dogs/dog.2350.jpg,98f79b74fae6c5686dc92fe400554af2,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/10345.jpg,07872b02bbbf0f929976f6659c98343a,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/869.jpg,daf8015ca75b3db4cbd492b379712551,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/8453.jpg,50df184da3145515db425e54a8add9bf,RGB,3
old,old_train,dogs,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/dogs/dog.3711.jpg,0ecf0f34a23bb12e2b29a5f316ec91c2,RGB,3
old,old_train,cats,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/cats/cat.2118.jpg,767ef0d83ad416fdd349c4b1523ae212,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/12053.jpg,95ba628f340186e3f226f40b5d73ff0e,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/10478.jpg,c4bb4879cd6f31296cfd0f315b53a678,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/12159.jpg,0d07de3acd667a50310fffd78aedc855,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/9934.jpg,32446bee12daeab7fe7ca0c1104b3002,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/11699.jpg,e1fdb5d35a6730e4faa95e73fc6bd46c,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/11545.jpg,354a4a2d52e648147afedc14ec99bec6,RGB,3
old,old_train,cats,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/cats/cat.3658.jpg,bf8b5193ac6e532b883ddfe4daad17df,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/9874.jpg,d2a17d095deb286e18611082447b5085,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/8311.jpg,794e0ade6df968b4813f3ab76cd02670,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/12077.jpg,a7f51a50614373185c42ddaa11f7b97a,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/10069.jpg,8ba9d48e6a57a3f1acc6e254b5395c2c,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/5424.jpg,1ca787d0a4a226210d37183d135e9afc,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/7563.jpg,444c005f33d85cd043274527bfd80bb2,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/10991.jpg,54e6336a782305621bf1f645ec25cbc9,RGB,3
old,old_test,dogs,/content/drive/MyDrive/HOCSAU/data/catdog/test_set/dogs/dog.4205.jpg,ef0fc53c221dd9e72e76c029d57f16dd,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/3908.jpg,01142e533726d0b06fa5ac789b07de19,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/3140.jpg,3651c4a362f8c3c511b929927e7800a6,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/11287.jpg,6eef45eb091a43c67af7b7dfedfe9194,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/5516.jpg,5a4dfb742667bb8fd441af608a9f2a61,RGB,3
old,old_train,dogs,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/dogs/dog.271.jpg,2a0400793f866b0a28ec8ed5f59a98d4,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/11700.jpg,1af0f02bd3a4f1d235fedd9232a8b01c,RGB,3
old,old_train,dogs,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/dogs/dog.2404.jpg,ee1e02643a39b572bfc8fe04dbcf3187,RGB,3
old,old_train,dogs,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/dogs/dog.545.jpg,99f469dc404a9ff6006080edcf8a1606,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/8178.jpg,0d9cbd929b2d3215d8f12d50b61147c8,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/953.jpg,658c32ff0db91a7e6e745bcbf28cb547,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/2463.jpg,d680dc0ce82879936789e73ae756a2e7,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/9370.jpg,23030d12fd352d4fbca283f4c039e470,RGB,3
old,old_train,dogs,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/dogs/dog.3479.jpg,4a9ea699b25b86dc3755692178162a79,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/10303.jpg,322611f4193ac83273a334e335dc4b20,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/9274.jpg,6c3719f9656fb996ef5c604f5356aa73,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/5750.jpg,448ef9a9e0d06f72b911c16f6f12d048,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/9227.jpg,a17e589f4041f408da897d8b426ea47c,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/2812.jpg,5b8857cb8242b35811667ff1fed19e8f,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/2303.jpg,7b90cc26885917fb6735e30dda228b1a,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/8023.jpg,5e017f81e557c482ebee8849daaecb5d,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/7861.jpg,0dd5affe58714fb24b0646723b8de334,RGB,3
old,old_train,cats,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/cats/cat.1814.jpg,5344662be0c44b02bface09c4a9dd2d2,RGB,3
old,old_train,cats,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/cats/cat.3036.jpg,2cc55b5198215f65c269d01c5849a947,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/11641.jpg,4359b76a745208da8bf77f5a49495a28,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/3933.jpg,1397f93d41794487eec8a993df6b391b,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/8890.jpg,8ce9bf6b39de9f9b43cb7508432f1a38,RGB,3
old,old_train,dogs,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/dogs/dog.1873.jpg,f9758863dbb4aeda90d148d4dfd430c7,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/10645.jpg,2c3c63e6f579cb8f206af9d7a12af2e0,RGB,3
old,old_test,dogs,/content/drive/MyDrive/HOCSAU/data/catdog/test_set/dogs/dog.4552.jpg,72499a8dce334d8288db6aa000ac59f0,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/75.jpg,bf66078c6ecbd8846998cb62fae159af,RGB,3
old,old_train,cats,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/cats/cat.3573.jpg,bf97a166b2ef8fd99d6f29c10eb2ef8b,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/1227.jpg,ffc704005d6646dcc1894faf8ed81352,RGB,3
microsoft,raw,dogs,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Dog/11342.jpg,0f63bc0ad1a5beda89f099ad7330e2ab,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/10235.jpg,e674e9740cdef61a8f9ed87a043f5e5e,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/4322.jpg,353c84c6e9a478a9e276541180b39243,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/5797.jpg,f8a19e9078b0ee98375c96fd1b8420d9,RGB,3
microsoft,raw,cats,/content/drive/MyDrive/HOCSAU/data/catdog_microsoft/Cat/682.jpg,d1596e27231ab6f125f885a5832c0f90,RGB,3
old,old_test,dogs,/content/drive/MyDrive/HOCSAU/data/catdog/test_set/dogs/dog.4774.jpg,c2b125b0f5205173aa4b9dcb6dcf23c5,RGB,3
old,old_train,dogs,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/dogs/dog.2166.jpg,14e11b58072263311612405193426f6c,RGB,3
old,old_train,cats,/content/drive/MyDrive/HOCSAU/data/catdog/training_set/cats/cat.502.jpg,03f5f41002ebd9b92c4e855241a54674,RGB,3
